"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3","setup","Surefire suite","Tue Jun 24 22:52:28 GMT 2025","broken","Tue Jun 24 22:52:28 GMT 2025","tests.SwapTest","Surefire test","tests.SwapTest","setup"
"","1","checkWebDriverPrivacy","Surefire suite","Tue Jun 24 22:52:28 GMT 2025","skipped","Tue Jun 24 22:52:28 GMT 2025","tests.SwapTest","Surefire test","tests.SwapTest","checkWebDriverPrivacy"
"","14635","checkSwap","Surefire suite","Tue Jun 24 22:49:13 GMT 2025","broken","Tue Jun 24 22:49:27 GMT 2025","tests.SwapTest","Surefire test","tests.SwapTest","checkSwap"
