"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4","checkSwap","Surefire suite","Tue Jun 24 23:15:18 GMT 2025","skipped","Tue Jun 24 23:15:18 GMT 2025","tests.SwapTest","Surefire test","tests.SwapTest","checkSwap"
"","1","checkWebDriverPrivacy","Surefire suite","Tue Jun 24 23:15:18 GMT 2025","skipped","Tue Jun 24 23:15:18 GMT 2025","tests.SwapTest","Surefire test","tests.SwapTest","checkWebDriverPrivacy"
"","0","setup","Surefire suite","Tue Jun 24 23:15:18 GMT 2025","broken","Tue Jun 24 23:15:18 GMT 2025","tests.SwapTest","Surefire test","tests.SwapTest","setup"
