"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","checkWebDriverPrivacy","Surefire suite","Tue Jun 24 22:44:01 GMT 2025","skipped","Tue Jun 24 22:44:01 GMT 2025","tests.SwapTest","Surefire test","tests.SwapTest","checkWebDriverPrivacy"
"","1","setup","Surefire suite","Tue Jun 24 22:44:01 GMT 2025","broken","Tue Jun 24 22:44:01 GMT 2025","tests.SwapTest","Surefire test","tests.SwapTest","setup"
"","15154","checkSwap","Surefire suite","Tue Jun 24 22:40:46 GMT 2025","broken","Tue Jun 24 22:41:01 GMT 2025","tests.SwapTest","Surefire test","tests.SwapTest","checkSwap"
