"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","setup","Surefire suite","Tue Jun 24 23:44:53 GMT 2025","broken","Tue Jun 24 23:44:53 GMT 2025","tests.SwapTest","Surefire test","tests.SwapTest","setup"
"","1","checkWebDriverPrivacy","Surefire suite","Tue Jun 24 23:44:53 GMT 2025","skipped","Tue Jun 24 23:44:53 GMT 2025","tests.SwapTest","Surefire test","tests.SwapTest","checkWebDriverPrivacy"
"","1","checkSwap","Surefire suite","Tue Jun 24 23:41:53 GMT 2025","skipped","Tue Jun 24 23:41:53 GMT 2025","tests.SwapTest","Surefire test","tests.SwapTest","checkSwap"
